school_name,district_name,enrollment11,num_testtakers11,num_erwbenchmark11,pct_erwbenchmark11,num_mathbenchmark11,pct_mathbenchmark11,total_num_bothbenchmark11,pct_bothbenchmark11
Verdugo Hills Senior High,Los Angeles Unified,306.0,269.0,161.0,59.85,94.0,34.94,87.0,32.34
John F. Kennedy High,Los Angeles Unified,544.0,506.0,269.0,53.16,177.0,34.98,162.0,32.02
PUC Lakeview Charter High,Los Angeles Unified,102.0,73.0,53.0,72.6,33.0,45.21,31.0,42.47
John F. Kennedy High,Corona-Norco Unified,206.0,93.0,86.0,92.47,68.0,73.12,66.0,70.97
Norco High,Corona-Norco Unified,473.0,151.0,130.0,86.09,100.0,66.23,92.0,60.93
California Connections Academy Southern California,Capistrano Unified,581.0,65.0,59.0,90.77,45.0,69.23,44.0,67.69
Galileo High,San Francisco Unified,446.0,206.0,163.0,79.13,164.0,79.61,142.0,68.93
Phillip J Patino School of Entrepreneurship,Fresno Unified,70.0,63.0,25.0,39.68,14.0,22.22,13.0,20.63
Thirty-Second Street USC Performing Arts,Los Angeles Unified,77.0,73.0,40.0,54.79,25.0,34.25,22.0,30.14
Eagle Tree Continuation,Los Angeles Unified,7.0,22.0,1.0,4.55,0.0,0.0,0.0,0.0
John C. Fremont Senior High,Los Angeles Unified,452.0,465.0,111.0,23.87,28.0,6.02,25.0,5.38
Ulysses S. Grant Senior High,Los Angeles Unified,401.0,373.0,190.0,50.94,104.0,27.88,94.0,25.2
Hollywood Senior High,Los Angeles Unified,320.0,309.0,179.0,57.93,97.0,31.39,89.0,28.8
Thomas Jefferson Senior High,Los Angeles Unified,163.0,131.0,26.0,19.85,12.0,9.16,9.0,6.87
Bell Senior High,Los Angeles Unified,554.0,543.0,228.0,41.99,123.0,22.65,113.0,20.81
Metropolitan Continuation,Los Angeles Unified,13.0,19.0,3.0,15.79,0.0,0.0,0.0,0.0
Lakewood High,Long Beach Unified,739.0,658.0,344.0,52.28,182.0,27.66,163.0,24.77
